Designator,Footprint,Quantity,Value,LCSC Part #
BT1,SolderWire-0.15sqmm_1x02_P4mm_D0.5mm_OD1.5mm_Relief,1,Battery_Cell,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C3, C4, C5, C6, C7, C8, C9",0603,20,10nF,
"C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31",0402,11,0.1uF,
"C32, C33",0603,2,330nF,
"C34, C35",0402,2,1uF,
C36,0603,1,68nF,
J1,SolderWire-0.15sqmm_1x02_P4mm_D0.5mm_OD1.5mm_Relief,1,speaker holes,
"R1, R40",0603,2,180k,
"R10, R13, R14, R17, R18, R21, R22, R25, R26, R28, R29, R3, R30, R33, R34, R37, R38, R4, R41, R42, R43, R44, R48, R49, R5, R50, R51, R52, R55, R57, R58, R6, R61, R62, R65, R66, R69, R70, R73, R74, R77, R78, R9, R90, R91",0402,45,47k,
"R100, R99",0603,2,9.1k,
"R101, R102, R103",0402,3,8.2k,
"R104, R105",0603,2,6.8k,
"R106, R123",0603,2,6.2k,
"R107, R109",0402,2,5.1k,
"R108, R82",0402,2,7.5k,
"R11, R111, R15, R19, R2, R23, R27, R31, R35, R39, R45, R46, R53, R54, R59, R63, R67, R7, R71, R75, R79, R83",0402,22,4.7k,
R110,0603,1,4.3k,
R112,RES-ADJ-TH_RK09K1130AJ3,1,RK09K1130AJ3,C388854
"R113, R92, R93, R94, R97, R98",0603,6,13k,
"R114, R47",0402,2,51k,
"R115, R119, R120, R138, R8",0603,5,82k,
"R116, R95",0402,2,15k,
R117,0402,1,20k,
R118,0402,1,1.2k,
R12,0402,1,2.4k,
R121,0603,1,390,
"R122, R32",0603,2,62k,
"R124, R142",0603,2,820,
"R125, R140",0402,2,300k,
R126,0603,1,390k,
R127,0603,1,1.1k,
"R128, R134",0402,2,300,
"R129, R135",0603,2,360k,
"R130, R132, R24",0402,3,56k,
"R131, R136, R144",0603,3,180,
"R133, R68, R89",0603,3,43k,
"R137, R36",0402,2,220k,
R139,0603,1,240,
R141,0402,1,75,
R143,0402,1,22k,
R145,0402,1,680,
"R16, R20",0402,2,75k,
R56,0603,1,160k,
R60,0603,1,36k,
"R64, R72",0402,2,39k,
"R76, R80",0402,2,33k,
R81,0402,1,200k,
R84,0402,1,220,
R85,0402,1,3.3k,
R86,0402,1,2.2k,
R87,0402,1,510,
R88,0603,1,750k,
R96,0603,1,11k,
SW1,SW-TH_2P-L15.0-W10.5-P5.00_KCD11-2P-R,1,HX KCD11-2P-R,C6917318
SW10,SW-TH_6P-L7.0-W7.0-P2.00,1,F4,C22363820
SW11,SW-TH_6P-L7.0-W7.0-P2.00,1,F#4,C22363820
SW12,SW-TH_6P-L7.0-W7.0-P2.00,1,G4,C22363820
SW13,SW-TH_6P-L7.0-W7.0-P2.00,1,Ab4,C22363820
SW14,SW-TH_6P-L7.0-W7.0-P2.00,1,A4,C22363820
SW15,SW-TH_6P-L7.0-W7.0-P2.00,1,Bb4,C22363820
SW16,SW-TH_6P-L7.0-W7.0-P2.00,1,B4,C22363820
SW17,SW-TH_6P-L7.0-W7.0-P2.00,1,C5,C22363820
SW18,SW-TH_6P-L7.0-W7.0-P2.00,1,C#5,C22363820
SW19,SW-TH_6P-L7.0-W7.0-P2.00,1,D5,C22363820
SW2,SW-TH_6P-L7.0-W7.0-P2.00,1,A3,C22363820
SW20,SW-TH_6P-L7.0-W7.0-P2.00,1,Eb5,C22363820
SW21,SW-TH_6P-L7.0-W7.0-P2.00,1,E5,C22363820
SW3,SW-TH_6P-L7.0-W7.0-P2.00,1,Bb3,C22363820
SW4,SW-TH_6P-L7.0-W7.0-P2.00,1,B3,C22363820
SW5,SW-TH_6P-L7.0-W7.0-P2.00,1,C4,C22363820
SW6,SW-TH_6P-L7.0-W7.0-P2.00,1,C#4,C22363820
SW7,SW-TH_6P-L7.0-W7.0-P2.00,1,D4,C22363820
SW8,SW-TH_6P-L7.0-W7.0-P2.00,1,Eb4,C22363820
SW9,SW-TH_6P-L7.0-W7.0-P2.00,1,E4,C22363820
"U1, U10, U11, U2, U3, U4, U5, U6, U7, U8, U9",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,11,LM358DR2G,C7950
U12,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,LM4871DRG,C2977084
