Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.7,-114.0,0.0,top
C1,54.729462,-133.561076,0.0,top
C10,138.26,-134.8,180.0,top
C11,144.8,-135.06,0.0,top
C12,162.77,-135.025,0.0,top
C13,156.2,-135.26,180.0,top
C14,173.97,-134.8,180.0,top
C15,180.8,-134.5,0.0,top
C16,192.105,-135.23,180.0,top
C17,198.59,-135.1,0.0,top
C18,210.09,-135.5,180.0,top
C19,216.865,-134.48,0.0,top
C2,66.029462,-133.961076,180.0,top
C20,228.465,-135.1,180.0,top
C21,62.579462,-133.071076,180.0,top
C22,80.91,-133.36,180.0,top
C23,116.8,-133.7,180.0,top
C24,135.06,-133.56,180.0,top
C25,152.8,-134.06,180.0,top
C26,98.81,-133.4,180.0,top
C27,170.57,-133.825,180.0,top
C28,188.605,-133.93,180.0,top
C29,206.4,-133.7,180.0,top
C3,72.99,-134.45,0.0,top
C30,224.865,-133.4,180.0,top
C31,156.7,-112.8,270.0,top
C32,158.5,-119.6,180.0,top
C33,182.6,-123.675,270.0,top
C34,180.0,-121.475,0.0,top
C35,181.85,-111.25,0.0,top
C36,180.5,-123.65,270.0,top
C4,84.19,-135.05,180.0,top
C5,90.5,-134.69,0.0,top
C6,102.11,-135.2,180.0,top
C7,108.6,-134.9,0.0,top
C8,119.975,-135.1675,180.0,top
C9,126.6,-134.56,0.0,top
J1,191.6,-121.0,0.0,top
R1,54.629462,-137.861076,90.0,top
R10,71.99,-136.25,270.0,top
R100,126.2,-129.325,270.0,top
R101,138.4,-131.5,270.0,top
R102,144.8,-129.01,270.0,top
R103,152.1,-129.01,270.0,top
R104,163.8,-131.675,270.0,top
R105,173.4,-129.325,270.0,top
R106,182.9,-131.4,270.0,top
R107,191.0,-130.9,270.0,top
R108,197.7,-129.01,270.0,top
R109,209.4,-130.61,270.0,top
R11,72.99,-136.25,90.0,top
R110,216.3,-131.2,270.0,top
R111,227.4,-129.01,270.0,top
R112,170.7,-118.3,0.0,top
R113,183.49,-121.175,0.0,top
R114,185.8,-116.175,90.0,top
R115,73.8,-138.7,270.0,top
R116,101.1,-137.0,270.0,top
R117,109.6,-136.7,270.0,top
R118,119.2,-136.9,270.0,top
R119,126.9,-138.8,90.0,top
R12,73.99,-136.25,270.0,top
R120,138.0,-139.5,0.0,top
R121,162.8,-138.6,180.0,top
R122,173.8,-139.4,0.0,top
R123,181.8,-136.8,270.0,top
R124,192.0,-139.0,0.0,top
R125,198.2,-138.8,90.0,top
R126,209.2,-138.325,270.0,top
R127,57.325,-129.7,180.0,top
R128,67.9,-129.7,180.0,top
R129,75.6,-129.325,270.0,top
R13,85.19,-138.85,270.0,top
R130,85.4,-129.01,270.0,top
R131,93.4,-129.325,270.0,top
R132,102.8,-129.01,270.0,top
R133,111.5,-129.325,270.0,top
R134,121.4,-129.01,270.0,top
R135,128.0,-129.325,270.0,top
R136,136.1,-129.325,270.0,top
R137,146.0,-129.01,270.0,top
R138,153.5,-129.325,270.0,top
R139,162.2,-129.325,270.0,top
R14,85.19,-136.85,270.0,top
R140,172.1,-129.01,270.0,top
R141,181.6,-129.01,270.0,top
R142,189.6,-129.325,270.0,top
R143,198.8,-129.01,270.0,top
R144,207.8,-129.325,270.0,top
R145,215.1,-129.01,270.0,top
R15,84.19,-136.85,90.0,top
R16,83.19,-138.85,270.0,top
R17,89.5,-138.48,270.0,top
R18,89.5,-136.49,270.0,top
R19,90.5,-136.49,90.0,top
R2,54.329462,-135.361076,90.0,top
R20,91.5,-138.49,270.0,top
R21,103.11,-139.0,270.0,top
R22,103.11,-137.0,270.0,top
R23,102.11,-137.0,90.0,top
R24,101.1,-139.0,270.0,top
R25,107.6,-138.7,270.0,top
R26,107.6,-136.7,270.0,top
R27,108.6,-136.7,90.0,top
R28,109.6,-138.7,270.0,top
R29,121.7,-138.9,270.0,top
R3,53.329462,-137.361076,270.0,top
R30,121.7,-136.9,270.0,top
R31,120.7,-136.9,90.0,top
R32,119.7,-138.7,0.0,top
R33,125.6,-138.36,270.0,top
R34,125.6,-136.36,270.0,top
R35,126.6,-136.36,90.0,top
R36,127.6,-136.36,270.0,top
R37,140.1,-138.59,270.0,top
R38,140.0,-136.59,270.0,top
R39,138.9,-136.59,90.0,top
R4,53.329462,-135.361076,270.0,top
R40,137.3,-137.1,270.0,top
R41,143.8,-138.86,270.0,top
R42,143.8,-136.86,270.0,top
R43,160.8,-138.8,270.0,top
R44,161.0,-136.8,270.0,top
R45,144.8,-136.86,90.0,top
R46,162.8,-136.8,90.0,top
R47,145.8,-138.86,270.0,top
R48,163.8,-136.8,270.0,top
R49,157.2,-139.06,270.0,top
R5,67.629462,-137.661076,270.0,top
R50,157.2,-137.06,270.0,top
R51,175.8,-139.025,270.0,top
R52,175.4,-136.6,270.0,top
R53,156.2,-137.06,90.0,top
R54,174.4,-136.6,90.0,top
R55,155.2,-139.0,270.0,top
R56,173.1,-137.075,270.0,top
R57,179.0,-138.3,270.0,top
R58,179.5,-136.3,270.0,top
R59,180.5,-136.3,90.0,top
R6,67.629462,-135.661076,270.0,top
R60,181.1,-139.1,180.0,top
R61,194.0,-138.9,270.0,top
R62,193.1,-137.0,270.0,top
R63,192.1,-137.0,90.0,top
R64,191.105,-137.02,270.0,top
R65,197.1,-138.8,270.0,top
R66,197.1,-136.9,270.0,top
R67,198.1,-136.9,90.0,top
R68,199.4,-137.4,270.0,top
R69,211.5,-139.3,270.0,top
R7,66.229462,-135.661076,90.0,top
R70,211.5,-137.3,270.0,top
R71,210.5,-137.3,90.0,top
R72,210.5,-139.3,90.0,top
R73,215.865,-138.28,270.0,top
R74,215.865,-136.28,270.0,top
R75,216.865,-136.28,90.0,top
